index,UNIQUE_ID,CURRENT_FICO_PRIM,PROP_STATE,PROP_ZIP,UNPAID_BALANCE,INTEREST_RATE,PRINCIPAL_AND_INTEREST,MI_AMT,LOAN_TYPE,LOAN_TERM,ORIGINATION_DATE,REMAINING_TERM,ORIG_HELOC_BALANCE,CURRENT_PROPERTY_VALUE,LTV,PROPERTY_TYPE,CURRENT_OCCUPANCY_TYPE,NUMBER_OF_UNITS
3428,1448969665,720,FL,32765,336089.44,0.0325,2691.95,0.0,C,180,10/30/2019,152,0.0,550000,61.11,SFH,OO,1
622,1440030490,720,OR,97403,163471.54,0.0325,2683.36,0.0,C,120,10/17/2016,67,0.0,400000,40.87,SFH,OO,1
34575,1469175457,720,MI,48188,228636.8,0.03375,1016.82,0.0,C,360,09/29/2020,357,0.0,290000,78.84,SFH,OO,1
2360,1448944411,720,GA,30040,204940.49,0.03875,1302.83,0.0,C,240,07/30/2019,223,0.0,290000,70.67,SFH,OO,1
5968,1463424315,720,WA,98042,435968.23,0.0375,2049.29,0.0,C,360,03/23/2020,351,0.0,590000,73.89,SFH,OO,1
8848,1463470243,720,GA,30028,281858.7,0.0275,1168.39,45.32,C,360,04/27/2020,352,0.0,318000,88.63,SFH,OO,1
16108,1466690367,720,MI,48193,193882.01,0.0275,800.15,0.0,C,360,06/18/2020,354,0.0,257000,75.44,SFH,OO,1
42111,1473045811,720,KY,42104,209532.14,0.02875,1447.32,0.0,C,180,10/26/2020,178,0.0,310000,67.59,SFH,OO,1
30495,1469124828,720,CA,95358,138804.54,0.0275,569.73,0.0,C,360,09/14/2020,357,0.0,309000,44.92,SFH,OO,1
33232,1469159287,720,GA,30734,133138.4,0.025,900.16,0.0,C,180,09/24/2020,177,0.0,211100,63.07,SFH,OO,1
41918,1473043683,720,CT,6013,224174.73,0.02875,958.4,0.0,C,360,10/26/2020,343,0.0,410000,54.68,SFH,OO,1
14914,1466675574,720,SC,29456,154609.91,0.03875,733.57,0.0,C,360,06/08/2020,354,0.0,265000,58.34,SFH,OO,1
41263,1469255853,720,MI,48189,157423.5,0.0275,645.02,0.0,C,360,10/19/2020,358,0.0,325000,48.44,SFH,OO,1
19849,1466745096,720,PA,15650,238397.91,0.03,1350.45,0.0,C,240,07/15/2020,234,0.0,325000,73.35,SFH,OO,1
46551,1473098588,720,CA,95037,397134.34,0.0225,2613.79,0.0,C,180,11/05/2020,179,0.0,1350000,29.42,SFH,OO,1
22715,1466782354,720,AZ,86404,409223.34,0.025,2792.95,0.0,C,180,07/27/2020,175,0.0,725000,56.44,SFH,OO,1
30313,1469122806,720,MI,48116,228417.79,0.025,908.78,0.0,C,360,09/14/2020,357,0.0,315000,72.51,SFH,OO,1
2401,1448945269,720,VA,20152,208688.37,0.0275,1535.72,0.0,C,180,07/29/2019,163,0.0,715000,29.19,SFH,OO,1
47484,1473111373,720,CA,93268,145642.45,0.025,576.54,0.0,C,360,11/09/2020,359,0.0,229000,63.6,SFH,OO,1
20155,1466748934,720,CA,95377,495502.54,0.0275,2041.21,0.0,C,360,07/16/2020,355,0.0,613000,80.83,SFH,OO,1
15841,1466687090,720,FL,34219,271191.75,0.0275,1120.66,84.64,C,360,06/15/2020,354,0.0,283000,95.83,SFH,OO,1
30282,1469122459,720,FL,32712,307762.06,0.025,1222.9,0.0,C,360,09/14/2020,357,0.0,395000,77.91,SFH,OO,1
20626,1466754593,720,MD,21550,233391.39,0.0225,1565.65,0.0,C,180,07/20/2020,175,0.0,500000,46.68,SFH,OO,1
51468,1473160446,720,KY,40242,138190.4,0.025,547.04,0.0,C,360,11/18/2020,359,0.0,199000,69.44,SFH,OO,1
46206,1473094819,720,NC,28147,152588.98,0.02625,615.33,0.0,C,360,11/02/2020,358,0.0,234000,65.21,SFH,OO,1
12209,1466634811,720,AL,35242,356264.61,0.02625,2482.22,0.0,C,180,05/20/2020,173,0.0,625000,57.0,SFH,OO,1
14156,1466662648,720,TX,77345,122732.85,0.03125,925.79,0.0,C,180,06/03/2020,162,0.0,303000,40.51,SFH,OO,1
21629,1466767363,720,NJ,7871,341401.28,0.0275,1406.39,0.0,C,360,07/27/2020,355,0.0,700000,48.77,SFH,OO,1
29775,1469116634,720,AZ,85018,258475.4,0.0225,993.84,0.0,C,360,09/10/2020,357,0.0,550000,47.0,SFH,OO,1
29516,1469113565,720,NC,28602,217950.99,0.025,1170.03,0.0,C,240,09/08/2020,236,0.0,368000,59.23,SFH,OO,1
42297,1473047916,720,CO,80918,482366.31,0.02625,2602.08,0.0,C,240,10/26/2020,238,0.0,660000,73.09,SFH,OO,1
5760,1463419968,720,MA,1453,207706.73,0.03625,962.27,0.0,C,360,03/18/2020,350,0.0,290000,71.62,SFH,OO,1
43667,1473063467,720,OH,45069,117984.17,0.03,499.14,33.54,C,360,10/28/2020,358,0.0,135000,87.4,SFH,OO,1
20655,1466755012,720,CA,95020,586370.53,0.0275,2418.83,0.0,C,360,07/20/2020,355,0.0,752000,77.97,SFH,OO,1
47135,1473105094,720,DE,19720,186732.15,0.0225,1234.83,0.0,C,180,11/04/2020,178,0.0,262000,71.27,SFH,OO,1
4518,1448993988,720,OR,97062,130302.04,0.0399,632.49,0.0,C,360,12/30/2019,348,0.0,190000,68.58,SFH,OO,1
13089,1466649041,720,VA,24266,192750.8,0.0275,1357.24,0.0,C,180,05/28/2020,172,0.0,260000,74.13,SFH,OO,1
43502,1473061586,720,CA,91945,269048.55,0.02875,1120.21,0.0,C,360,10/28/2020,358,0.0,460000,58.49,SFH,OO,1
49923,1473140943,720,MD,21045,259444.37,0.02875,1078.31,0.0,C,360,11/12/2020,359,0.0,350000,74.13,SFH,OO,1
9612,1463484343,720,AZ,85383,249749.93,0.0325,1101.55,0.0,C,360,04/30/2020,352,0.0,360000,69.37,SFH,OO,1
21155,1466761366,720,UT,84015,267814.2,0.0275,1859.42,0.0,C,180,07/23/2020,175,0.0,400000,66.95,SFH,OO,1
23945,1466799671,720,TX,76633,199765.64,0.02625,1088.11,0.0,C,240,08/05/2020,235,0.0,265000,75.38,SFH,OO,1
2153,1448938173,720,FL,33196,143803.45,0.04875,793.81,0.0,C,360,06/25/2019,338,0.0,237000,60.68,SFH,OO,1
29581,1469114373,720,PA,19608,161917.68,0.0275,665.02,0.0,C,360,09/08/2020,358,0.0,275000,58.88,SFH,OO,1
3485,1448970523,720,CA,92240,81835.73,0.03875,399.7,0.0,C,360,10/31/2019,336,0.0,243000,33.68,SFH,OO,1
39611,1469236945,720,CA,91775,279283.44,0.0225,2642.58,0.0,C,120,10/16/2020,118,0.0,850000,32.86,SFH,OO,1
37383,1469209942,720,MI,48236,286013.77,0.03,1210.0,0.0,C,360,10/09/2020,358,0.0,550000,52.0,SFH,OO,1
24735,1466812268,720,NV,89108,328519.19,0.025,1307.85,0.0,C,360,08/12/2020,356,0.0,475000,69.16,SFH,OO,1
1160,1440048989,720,AR,72715,112752.2,0.04375,592.7,0.0,C,360,01/23/2018,325,0.0,170000,66.32,SFH,OO,1
2782,1448955201,720,NV,89143,194230.51,0.0299,1442.31,0.0,C,180,09/13/2019,165,0.0,350000,55.49,SFH,OO,1
4627,1448996338,720,NJ,7403,249335.83,0.03375,1878.21,0.0,C,180,11/22/2019,167,0.0,385000,64.76,SFH,OO,1
11947,1466631197,720,CA,94124,501650.48,0.0325,2221.29,0.0,C,360,05/18/2020,353,0.0,750000,66.89,SFH,OO,1
8714,1463468486,720,CA,93619,365476.1,0.03125,1587.13,160.55,C,360,04/27/2020,352,0.0,393000,93.0,SFH,OO,1
6763,1463436459,720,VA,22407,90881.1,0.02625,948.39,0.0,C,120,03/23/2020,111,0.0,318000,28.58,SFH,OO,1
41467,1469258089,720,VA,23662,310904.77,0.02875,1294.46,0.0,C,360,10/23/2020,358,0.0,640000,48.58,SFH,OO,1
44730,1473075511,720,WA,98367,345550.84,0.0275,1420.68,0.0,C,360,10/30/2020,358,0.0,580000,59.58,SFH,OO,1
26679,1469072423,720,CA,95835,403229.11,0.025,2164.65,95.32,C,240,08/24/2020,236,0.0,430000,93.77,SFH,OO,1
25953,1466827993,720,ID,83854,263324.3,0.035,1189.97,0.0,C,360,08/19/2020,356,0.0,332000,79.31,SFH,OO,1
7174,1463444594,720,CA,91935,508145.55,0.03875,3116.95,0.0,C,240,04/08/2020,232,0.0,650000,78.18,SFH,OO,1
25366,1466819966,720,WA,98144,381357.19,0.04,1831.31,0.0,C,360,08/11/2020,356,0.0,740000,51.53,SFH,OO,1
24967,1466815089,720,TN,37329,245489.99,0.0275,1696.55,0.0,C,180,08/14/2020,176,0.0,370000,66.35,SFH,OO,1
44666,1473074787,720,CA,91362,368115.05,0.02625,1484.1,0.0,C,360,10/30/2020,358,0.0,630000,58.43,SFH,OO,1
8497,1463465110,720,CA,93720,267055.45,0.02375,1833.41,0.0,C,180,04/09/2020,172,0.0,460000,58.06,SFH,OO,1
6873,1463438083,720,TN,37763,102307.19,0.025,730.66,0.0,C,180,04/02/2020,172,0.0,200000,51.15,SFH,OO,1
38437,1469223026,720,NE,68505,168954.81,0.02875,703.45,0.0,C,360,10/14/2020,358,0.0,226500,74.59,SFH,OO,1
2187,1448939031,720,CA,91770,121429.67,0.03625,570.06,0.0,C,360,06/28/2019,342,0.0,500000,24.29,SFH,OO,1
37033,1469205882,720,WA,98034,495938.41,0.025,1966.91,0.0,C,360,10/08/2020,358,0.0,695000,71.36,SFH,OO,1
40060,1469242117,720,MI,48033,183969.44,0.025,729.63,0.0,C,360,10/19/2020,358,0.0,235000,78.28,SFH,OO,1
48724,1473125480,720,WA,98837,231601.88,0.03,978.12,0.0,C,360,11/12/2020,359,0.0,295000,78.51,SFH,OO,1
26615,1469071698,720,WV,26508,224206.54,0.03,953.88,0.0,C,360,08/24/2020,356,0.0,320000,70.06,SFH,OO,1
16283,1466692462,720,FL,32259,199845.36,0.0275,826.28,0.0,C,360,06/19/2020,353,0.0,360000,55.51,SFH,OO,1
49265,1473131744,720,TX,77584,158101.6,0.0225,607.71,0.0,C,360,11/13/2020,357,0.0,240000,65.88,SFH,OO,1
47532,1473111886,720,MA,1826,322724.47,0.025,1284.14,54.17,C,360,11/04/2020,357,0.0,406000,79.49,SFH,OO,1
41233,1469255523,720,PA,18371,117886.11,0.0225,779.55,0.0,C,180,10/19/2020,178,0.0,215000,54.83,SFH,OO,1
44967,1473078218,720,GA,30101,198945.64,0.02875,829.78,0.0,C,360,10/27/2020,357,0.0,303000,65.66,SFH,OO,1
12732,1466644505,720,CA,92277,118411.92,0.03375,530.52,0.0,C,360,05/26/2020,353,0.0,160000,74.01,SFH,OO,1
14990,1466676432,720,GA,30047,309938.02,0.0275,1281.47,41.85,C,360,06/05/2020,353,0.0,370000,83.77,SFH,OO,1
25930,1466827712,720,SC,29860,244487.81,0.025,1316.81,0.0,C,240,08/20/2020,235,0.0,380000,64.34,SFH,OO,1
29300,1469109589,720,OH,44004,294953.71,0.03,1252.16,111.38,C,360,09/08/2020,356,0.0,330000,89.38,SFH,OO,1
45431,1473084877,720,CO,80831,256162.4,0.02375,1346.25,0.0,C,240,11/02/2020,239,0.0,367500,69.7,SFH,OO,1
43113,1473057121,720,GA,30189,115094.55,0.02875,479.2,0.0,C,360,10/23/2020,358,0.0,170000,67.7,SFH,OO,1
31959,1469143257,720,NV,89044,346279.29,0.0325,1514.52,0.0,C,360,09/21/2020,357,0.0,435000,79.6,SFH,OO,1
2180,1448938801,720,AR,72227,283610.43,0.04875,1550.58,0.0,C,360,06/27/2019,342,0.0,655000,43.3,SFH,OO,1
35948,1469192452,720,VA,20147,414498.38,0.0225,2793.94,0.0,C,180,10/05/2020,173,0.0,950000,43.63,SFH,OO,1
44311,1473070728,720,PA,18929,217234.73,0.02875,904.47,0.0,C,360,10/28/2020,358,0.0,500000,43.45,SFH,OO,1
51196,1473156246,720,WA,98501,342845.96,0.025,1822.61,0.0,C,240,11/17/2020,239,0.0,495000,69.26,SFH,OO,1
5534,1451517690,720,OR,97838,157558.35,0.0325,698.51,0.0,C,360,02/26/2020,349,0.0,225000,70.03,SFH,OO,1
5362,1449014388,720,NM,87301,138857.71,0.03875,1063.49,0.0,C,180,02/21/2020,170,0.0,191000,72.7,SFH,OO,1
46244,1473095220,720,GA,30345,336401.42,0.02625,1537.69,0.0,C,300,10/30/2020,298,0.0,500000,67.28,SFH,OO,1
44660,1473074712,720,OR,97370,299157.23,0.025,1186.81,40.05,C,360,10/28/2020,358,0.0,362000,82.64,SFH,OO,1
29760,1469116469,720,NC,27519,364022.73,0.0225,2436.92,0.0,C,180,09/10/2020,176,0.0,660000,55.15,SFH,OO,1
39477,1469235426,720,GA,30294,151342.82,0.0275,620.47,0.0,C,360,10/16/2020,358,0.0,225000,67.26,SFH,OO,1
13212,1466650601,720,OR,97338,149446.1,0.0325,658.03,0.0,C,360,05/29/2020,353,0.0,252000,59.3,SFH,OO,1
28960,1469103285,720,NM,87122,411674.26,0.025,1635.8,0.0,C,360,09/04/2020,357,0.0,850000,48.43,SFH,OO,1
10441,1463495513,720,IN,46235,88857.06,0.0325,391.25,0.0,C,360,05/08/2020,353,0.0,178000,49.92,SFH,OO,1
47236,1473106233,720,NC,28739,340513.0,0.02875,1415.24,0.0,C,360,11/04/2020,359,0.0,445000,76.52,SFH,OO,1
18657,1466727516,720,CA,95360,119153.64,0.0225,818.86,0.0,C,180,07/02/2020,174,0.0,390000,30.55,SFH,OO,1
32031,1469144099,720,MD,20746,173217.37,0.02625,709.72,0.0,C,360,09/21/2020,349,0.0,275000,62.99,SFH,OO,1
47614,1473112827,720,TX,77396,130999.22,0.0225,1229.24,0.0,C,120,11/09/2020,119,0.0,330000,39.7,SFH,OO,1
26341,1469068355,720,NC,27539,356672.1,0.02875,1490.29,0.0,C,360,08/21/2020,356,0.0,500000,71.33,SFH,OO,1
16076,1466689971,720,KS,66502,149507.82,0.025,1026.86,0.0,C,180,06/17/2020,174,0.0,240000,62.29,SFH,OO,1
16800,1466699038,720,TX,78727,194310.39,0.0325,2000.8,0.0,C,120,06/18/2020,113,0.0,273000,71.18,SFH,OO,1
12734,1466644521,720,NV,89048,131719.17,0.0275,545.61,0.0,C,360,05/26/2020,352,0.0,244400,53.89,SFH,OO,1
49726,1473138699,720,FL,34609,120976.94,0.0225,463.33,0.0,C,360,11/16/2020,359,0.0,240000,50.41,SFH,OO,1
15961,1466688544,720,CA,92610,360178.78,0.03125,1589.27,0.0,C,360,06/18/2020,353,0.0,990000,36.38,SFH,OO,1
2111,1448935716,720,CO,80026,113801.97,0.045,591.08,0.0,C,360,06/20/2019,342,0.0,240000,47.42,SFH,OO,1
46779,1473101127,720,FL,32907,137056.14,0.0225,902.05,0.0,C,180,11/05/2020,179,0.0,205000,66.86,SFH,OO,1
16706,1466697909,720,CO,80130,247949.0,0.025,1700.31,0.0,C,180,06/22/2020,174,0.0,625000,39.67,SFH,OO,1
51218,1473156527,720,PA,16001,87845.72,0.02875,365.11,0.0,C,360,11/18/2020,359,0.0,130000,67.57,SFH,OO,1
50790,1473150934,720,AL,35178,237436.7,0.0225,909.36,39.65,C,360,11/16/2020,359,0.0,275000,86.34,SFH,OO,1
37252,1469208373,720,CA,91384,457416.94,0.025,1817.56,0.0,C,360,10/09/2020,357,0.0,617000,74.14,SFH,OO,1
24805,1466813159,720,CO,81006,155613.03,0.02375,1060.78,0.0,C,180,08/07/2020,175,0.0,270000,57.63,SFH,OO,1
21157,1466761382,720,MN,55379,321598.17,0.025,2207.07,0.0,C,180,07/23/2020,175,0.0,455000,70.68,SFH,OO,1
26516,1469070476,720,VA,22025,442249.96,0.025,3007.22,0.0,C,180,08/21/2020,176,0.0,650000,68.04,SFH,OO,1
46351,1473096434,720,CA,91784,427948.45,0.02875,1778.64,0.0,C,360,11/09/2020,359,0.0,772500,55.4,SFH,OO,1
41354,1469256836,720,MO,64507,114732.87,0.02625,524.44,0.0,C,300,10/21/2020,298,0.0,172000,66.71,SFH,OO,1
22470,1466779343,720,VA,23235,250378.71,0.03,1066.66,0.0,C,360,07/30/2020,354,0.0,400000,62.59,SFH,OO,1
42574,1473050993,720,FL,33764,163139.79,0.025,874.34,0.0,C,240,10/26/2020,237,0.0,275000,59.32,SFH,OO,1
21301,1466763198,720,AZ,85648,152755.39,0.0325,754.6,0.0,C,300,07/23/2020,295,0.0,225000,67.89,SFH,OO,1
35758,1469189615,720,AL,35613,274614.44,0.02625,1481.38,0.0,C,240,10/02/2020,238,0.0,360000,76.28,SFH,OO,1
34854,1469178576,720,CA,90502,212464.33,0.0225,818.01,0.0,C,360,09/30/2020,357,0.0,700000,30.35,SFH,OO,1
10561,1463498319,720,NC,28027,205638.23,0.03375,919.56,0.0,C,360,05/11/2020,353,0.0,260000,79.09,SFH,OO,1
33461,1469161911,720,CA,92009,345081.14,0.0225,2292.8,0.0,C,180,09/28/2020,177,0.0,1142000,30.22,SFH,OO,1
13534,1466654868,720,AZ,85226,182214.64,0.03125,1309.63,0.0,C,180,06/01/2020,173,0.0,290000,62.83,SFH,OO,1
7003,1463440667,720,NC,28411,160765.97,0.02625,1128.19,0.0,C,180,04/03/2020,171,0.0,260000,61.83,SFH,OO,1
50908,1473152252,720,MO,64068,320569.53,0.0275,1323.31,0.0,C,360,11/18/2020,353,0.0,650000,49.32,SFH,OO,1
16684,1466697628,720,CA,93308,203592.43,0.0275,840.98,0.0,C,360,06/22/2020,354,0.0,258000,78.91,SFH,OO,1
39208,1469232324,720,NC,28210,298901.4,0.02625,1204.95,0.0,C,360,10/16/2020,358,0.0,418000,71.51,SFH,OO,1
27112,1469078560,720,CA,95112,497462.43,0.025,1980.42,0.0,C,360,08/26/2020,356,0.0,900000,55.27,SFH,OO,1
41209,1469255267,720,VA,23188,299001.8,0.0225,1563.78,0.0,C,240,10/22/2020,237,0.0,415000,72.05,SFH,OO,1
16251,1466692074,720,MO,64152,148118.12,0.0275,818.67,0.0,C,240,06/18/2020,234,0.0,230000,64.4,SFH,OO,1
9114,1463476042,720,CA,95035,301420.37,0.03375,1350.11,0.0,C,360,04/28/2020,292,0.0,575000,52.42,SFH,OO,1
46686,1473100087,720,MD,21793,274528.09,0.03,1159.41,0.0,C,360,11/04/2020,359,0.0,385000,71.31,SFH,OO,1
11491,1463511186,720,IN,46112,137328.67,0.03125,595.85,0.0,C,360,05/18/2020,353,0.0,184000,74.64,SFH,OO,1
29108,1469105025,720,MD,21710,370806.03,0.025,1473.41,0.0,C,360,09/04/2020,357,0.0,550000,67.42,SFH,OO,1
40991,1469252793,720,GA,30040,368645.05,0.02625,1486.11,0.0,C,360,10/16/2020,358,0.0,570000,64.67,SFH,OO,1
20995,1466759337,720,GA,30047,279097.7,0.02875,1554.6,0.0,C,240,07/20/2020,235,0.0,425000,65.67,SFH,OO,1
36989,1469205411,720,OH,44011,220771.29,0.025,875.59,0.0,C,360,10/07/2020,358,0.0,277000,79.7,SFH,OO,1
23677,1466796537,720,MD,20774,369130.94,0.03125,1593.56,0.0,C,360,08/05/2020,357,0.0,630000,58.59,SFH,OO,1
34372,1469173080,720,VA,20176,341169.64,0.025,1825.52,0.0,C,240,09/29/2020,237,0.0,750000,45.49,SFH,OO,1
22305,1466777453,720,NJ,7079,481997.53,0.02625,1964.07,0.0,C,360,07/29/2020,355,0.0,850000,56.71,SFH,OO,1
44659,1473074704,720,PA,19380,312814.9,0.025,1240.68,0.0,C,360,10/28/2020,358,0.0,540000,57.93,SFH,OO,1
10252,1463492924,720,OK,74804,64777.75,0.0275,656.43,0.0,C,120,05/04/2020,112,0.0,86000,75.32,SFH,OO,1
35667,1469188567,720,CA,91791,277689.57,0.0225,1856.84,0.0,C,180,10/05/2020,176,0.0,580000,47.88,SFH,OO,1
34233,1469171449,720,AZ,85338,203848.86,0.025,810.0,0.0,C,360,09/29/2020,357,0.0,275000,74.13,SFH,OO,1
38402,1469222614,720,NC,28590,127222.44,0.025,504.57,0.0,C,360,10/14/2020,358,0.0,245000,51.93,SFH,OO,1
37507,1469211377,720,NH,3284,194116.18,0.02875,808.21,50.32,C,360,10/09/2020,358,0.0,240000,80.88,SFH,OO,1
21168,1466761515,720,OR,97471,174351.32,0.02375,1179.74,0.0,C,180,07/23/2020,175,0.0,275000,63.4,SFH,OO,1
28996,1469103715,720,MA,2132,341270.42,0.025,1376.01,0.0,C,360,09/04/2020,351,0.0,700000,48.75,SFH,OO,1
46989,1473103487,720,FL,33549,244545.49,0.02875,1016.49,0.0,C,360,11/06/2020,359,0.0,310000,78.89,SFH,OO,1
13741,1466657473,720,WA,99006,277848.82,0.03,1185.97,0.0,C,360,06/02/2020,353,0.0,385000,72.17,SFH,OO,1
50574,1473148516,720,CA,93551,359654.8,0.0275,1470.89,0.0,C,360,11/18/2020,359,0.0,524000,68.64,SFH,OO,1
3659,1448974947,720,FL,32773,78314.9,0.03875,376.19,0.0,C,360,11/12/2019,346,0.0,170000,46.07,SFH,OO,1
32668,1469151219,720,CA,90815,221302.37,0.0225,1491.06,0.0,C,180,09/23/2020,176,0.0,759000,29.16,SFH,OO,1
44110,1473068482,720,AZ,85132,120030.22,0.0225,460.61,0.0,C,360,10/26/2020,358,0.0,250000,48.01,SFH,OO,1
11118,1463505691,720,CT,6488,312058.26,0.0275,2198.73,0.0,C,180,05/12/2020,172,0.0,405000,77.05,SFH,OO,1
49526,1473136503,720,NJ,7950,412252.98,0.0225,2725.15,0.0,C,180,11/13/2020,179,0.0,800000,51.53,SFH,OO,1
17894,1466715198,720,TN,37174,179736.53,0.0275,741.77,0.0,C,360,06/30/2020,354,0.0,285000,63.07,SFH,OO,1
8221,1463459824,720,GA,30062,287871.27,0.03625,1329.39,0.0,C,360,04/21/2020,352,0.0,395000,72.88,SFH,OO,1
12423,1466638036,720,MT,59923,298292.53,0.02375,2085.87,0.0,C,180,05/26/2020,167,0.0,394500,75.61,SFH,OO,1
45364,1473084091,720,FL,34771,288960.17,0.0275,1183.9,55.58,C,360,10/30/2020,358,0.0,341500,84.61,SFH,OO,1
50070,1473142675,720,MO,63601,99813.21,0.025,395.12,0.0,C,360,11/16/2020,359,0.0,140000,71.3,SFH,OO,1
17896,1466715222,720,CA,90043,453584.88,0.0275,1874.44,0.0,C,360,06/30/2020,354,0.0,600000,75.6,SFH,OO,1
20376,1466751532,720,NC,27539,432631.86,0.03,1841.57,0.0,C,360,07/17/2020,355,0.0,633000,68.35,SFH,OO,1
17130,1466703269,720,AZ,85203,251405.32,0.035,1149.55,0.0,C,360,06/25/2020,353,0.0,320000,78.56,SFH,OO,1
47078,1473104444,720,TX,76148,119528.76,0.02875,497.87,0.0,C,360,11/02/2020,358,0.0,188000,63.58,SFH,OO,1
1405,1440054847,720,OH,44512,68509.52,0.05375,398.98,0.0,C,360,04/27/2018,328,0.0,97000,70.63,SFH,OO,4
29714,1469115941,720,NM,87113,118268.11,0.035,695.95,0.0,C,240,09/09/2020,237,0.0,160000,73.92,SFH,OO,1
45582,1473086583,720,MA,2478,621809.52,0.02875,2588.93,0.0,C,360,10/30/2020,358,0.0,950000,65.45,SFH,OO,1
10508,1463496354,720,MI,48152,162905.16,0.03375,729.68,74.27,C,360,05/05/2020,352,0.0,179000,91.01,SFH,OO,1
10893,1463502722,720,CA,91709,395359.96,0.0325,1740.83,0.0,C,360,05/12/2020,353,0.0,575000,68.76,SFH,OO,1
13445,1466653662,720,GA,30606,197579.44,0.03,843.21,0.0,C,360,06/02/2020,353,0.0,400000,49.39,SFH,OO,1
